#{"t_start": 1745585070.5365307, "env_id": "intersection-v0"}
r,l,t
5.0,5,256.904385
-2.0,3,257.215617
3.0,4,257.464835
5.0,5,257.725026
5.0,5,258.200052
-3.0,2,258.365558
5.0,5,258.669933
5.0,5,259.098799
5.0,5,259.377236
-3.0,2,259.57803
2.0,3,259.81198
5.0,5,260.067868
-3.0,2,260.268014
-3.0,2,260.434791
5.0,5,260.752241
5.0,5,261.07401
-2.468761,3,261.293327
5.0,5,261.632816
-4.0,1,261.741963
5.0,5,262.017919
4.0,4,262.274221
5.0,5,262.628906
-2.0,3,262.945682
4.0,4,263.24496
5.0,5,263.724045
-3.0,2,263.935184
5.0,5,264.34508
-3.0,2,264.455434
5.0,5,264.774331
5.0,5,265.017895
-2.0,3,265.240713
5.0,5,265.388765
5.0,5,265.738086
5.0,5,266.051682
-2.0,3,266.241074
-2.468761,3,266.498809
5.0,5,266.693778
5.0,5,266.914917
-3.697041,2,267.090116
4.0,4,267.246929
-3.0,2,267.402797
4.0,4,267.680487
4.0,4,267.938798
5.0,5,268.305211
5.0,5,268.658784
5.0,5,269.020335
5.0,5,269.346643
5.0,5,269.565809
5.0,5,269.96878
5.0,5,270.170498
-2.0,3,270.353909
5.0,5,270.645042
-1.0,4,270.903493
5.0,5,271.240167
-2.0,3,271.447149
4.0,4,271.719231
3.0,4,272.100418
5.0,5,272.504964
4.0,4,272.682147
4.0,4,272.955705
-2.0,3,273.163744
3.0,4,273.450682
-2.742999,3,273.652473
5.0,5,273.929939
5.0,5,274.31227
-2.0,3,274.635755
5.0,5,275.133227
5.0,5,275.380138
5.0,5,277.5818
-2.0,3,277.703264
-4.0,1,277.796726
5.0,5,278.240278
-2.0,3,278.399925
5.0,5,278.773674
5.0,5,279.091929
-2.0,3,279.388873
-2.0,3,279.534552
5.0,5,279.845933
-3.0,2,280.278206
-2.175214,3,280.586562
-2.0,3,280.931633
5.0,5,281.552991
5.0,5,282.023756
-3.0,2,282.236711
-2.175214,3,282.434894
4.0,4,282.684617
5.0,5,282.915501
-2.0,3,283.129471
-2.0,3,283.437097
5.0,5,283.728363
6.0,6,284.009168
-2.0,3,284.198156
5.0,5,284.456143
5.0,5,286.827346
-1.0,4,287.040137
-1.0,4,287.539977
5.0,5,287.892823
5.0,5,288.255408
-3.0,2,288.407292
-2.0,3,288.573733
5.0,5,288.803769
-3.0,2,288.897316
-1.702039,4,289.173096
5.0,5,289.586357
-2.0,3,289.823905
-2.0,3,290.009531
-3.0,2,290.162656
4.0,4,290.388956
-2.0,3,290.628996
-2.0,3,290.8768
-2.0,3,291.160147
3.0,4,291.502949
5.0,5,291.8626
5.0,5,292.115173
5.0,5,292.439149
-5.0,1,292.565416
-2.175214,3,292.810997
5.0,5,293.197092
-3.0,2,293.337859
-2.0,3,293.531818
2.0,3,293.813556
4.0,4,294.007424
